cruise,date_time_utc,latitude,longitude,sample_id,replicate,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,fo_blank,fa_blank,fo_fa,chl,phaeo
en649,2020-02-01 16:30:00+00:00,,,1,a,152,6,0.3318,2.1895,191,140,2.13,188.87,137.87,1.36,1.23,2.72
en649,2020-02-01 16:30:00+00:00,,,1,b,152,6,0.3318,2.1895,244,159,2.13,241.87,156.87,1.53,2.05,2.45
en649,2020-02-01 16:30:00+00:00,,,1,c,152,6,0.3318,2.1895,229,150,2.13,226.87,147.87,1.53,1.9,2.34
en649,2020-02-02 00:10:00+00:00,,,2,a,152,6,0.3318,2.1895,397,306,2.51,394.5,303.5,1.3,2.19,6.51
en649,2020-02-02 00:10:00+00:00,,,2,b,152,6,0.3318,2.1895,493,281,2.51,490.5,278.5,1.75,5.11,2.88
en649,2020-02-02 00:10:00+00:00,,,2,c,152,6,0.3318,2.1895,340,207,2.51,337.5,204.5,1.64,3.21,2.66
en649,2020-02-02 00:56:00+00:00,,,3,a,152,6,0.3318,2.1895,388,221,2.51,385.5,218.5,1.76,4.03,2.24
en649,2020-02-02 00:56:00+00:00,,,3,b,152,6,0.3318,2.1895,406,243,2.51,403.5,240.5,1.67,3.93,2.97
en649,2020-02-02 00:56:00+00:00,,,3,c,152,6,0.3318,2.1895,311,287,2.51,308.5,284.5,1.08,0.58,7.58
en649,2020-02-02 01:03:00+00:00,,,4,a,152,6,0.3318,2.1895,340,293,2.51,337.5,290.5,1.16,1.13,7.2
en649,2020-02-02 01:03:00+00:00,,,4,b,152,6,0.3318,2.1895,407,344,2.51,404.5,341.5,1.18,1.52,8.27
en649,2020-02-02 01:03:00+00:00,,,4,c,152,6,0.3318,2.1895,402,335,2.51,399.5,332.5,1.2,1.62,7.92
en649,2020-02-02 17:36:00+00:00,,,5,a,152,6,0.3318,2.1895,124,72.1,2.51,121.5,69.6,1.72,1.25,0.74
en649,2020-02-02 17:36:00+00:00,,,5,b,152,6,0.3318,2.1895,169,98,2.51,166.5,95.5,1.72,1.71,1.03
en649,2020-02-02 17:36:00+00:00,,,5,c,152,6,0.3318,2.1895,295,165,2.51,292.5,162.5,1.79,3.13,1.53
en649,2020-02-02 21:18:00+00:00,,,6,a,152,6,0.3318,2.1895,199,180,2.48,196.52,177.52,1.11,0.46,4.63
en649,2020-02-02 21:18:00+00:00,,,6,b,152,6,0.3318,2.1895,191,180,2.48,188.52,177.52,1.06,0.27,4.83
en649,2020-02-02 21:18:00+00:00,,,6,c,152,6,0.3318,2.1895,275,161,2.48,272.52,158.52,1.71,2.75,1.8
en649,2020-02-03 05:00:00+00:00,,,7,a,152,6,0.3318,2.1895,148,88.3,2.01,145.99,86.29,1.68,1.44,1.04
en649,2020-02-03 05:00:00+00:00,,,7,b,152,6,0.3318,2.1895,141,84.7,2.01,138.99,82.69,1.66,1.36,1.01
en649,2020-02-03 05:00:00+00:00,,,7,c,152,6,0.3318,2.1895,145,84.7,2.01,142.99,82.69,1.71,1.45,0.92
en649,2020-02-03 07:18:00+00:00,,,8,a,152,6,0.3318,2.1895,129,77,2.01,126.99,74.99,1.68,1.25,0.9
en649,2020-02-03 07:18:00+00:00,,,8,b,152,6,0.3318,2.1895,121,77.6,2.01,118.99,75.59,1.56,1.05,1.12
en649,2020-02-03 07:18:00+00:00,,,8,c,152,6,0.3318,2.1895,138,78.4,2.01,135.99,76.39,1.76,1.44,0.75
en649,2020-02-03 12:17:00+00:00,,,9,a,152,6,0.3318,2.1895,108,65.6,2.01,105.99,63.59,1.65,1.02,0.8
en649,2020-02-03 12:17:00+00:00,,,9,b,152,6,0.3318,2.1895,101,60.3,2.01,98.99,58.29,1.67,0.98,0.69
en649,2020-02-03 12:17:00+00:00,,,9,c,152,6,0.3318,2.1895,100,54.2,2.01,97.99,52.19,1.85,1.1,0.39
en649,2020-02-03 19:19:00+00:00,,,10,a,152,6,0.3318,2.1895,122,74.8,2.01,119.99,72.79,1.63,1.14,0.95
en649,2020-02-03 19:19:00+00:00,,,10,b,152,6,0.3318,2.1895,104,60.5,2.01,101.99,58.49,1.72,1.05,0.63
en649,2020-02-03 19:19:00+00:00,,,10,c,152,6,0.3318,2.1895,117,71.9,2.01,114.99,69.89,1.63,1.09,0.92
en649,2020-02-03 19:58:00+00:00,,,11,a,152,6,0.3318,2.1895,126,69.6,2,124,67.6,1.81,1.36,0.58
en649,2020-02-03 19:58:00+00:00,,,11,b,152,6,0.3318,2.1895,124,71.1,2,122,69.1,1.74,1.28,0.71
en649,2020-02-03 19:58:00+00:00,,,11,c,152,6,0.3318,2.1895,125,71.6,2,123,69.6,1.75,1.29,0.71
en649,2020-02-04 00:47:00+00:00,,,12,a,152,6,0.3318,2.1895,91.6,56.5,2,89.6,54.5,1.62,0.85,0.72
en649,2020-02-04 00:47:00+00:00,,,12,b,152,6,0.3318,2.1895,92.5,54.3,2,90.5,52.3,1.7,0.92,0.58
en649,2020-02-04 00:47:00+00:00,,,12,c,152,6,0.3318,2.1895,90.5,57.5,2,88.5,55.5,1.57,0.8,0.8
en649,2020-02-04 02:04:00+00:00,,,13,a,152,6,0.3318,2.1895,102,61.2,2,100,59.2,1.67,0.98,0.71
en649,2020-02-04 02:04:00+00:00,,,13,b,152,6,0.3318,2.1895,85.1,49.7,2,83.1,47.7,1.71,0.85,0.51
en649,2020-02-04 02:04:00+00:00,,,13,c,152,6,0.3318,2.1895,106,65.8,2,104,63.8,1.61,0.97,0.86
en649,2020-02-04 14:50:00+00:00,,,14,a,152,6,0.3318,2.1895,125,71,2,123,69,1.76,1.3,0.68
en649,2020-02-04 14:50:00+00:00,,,14,b,152,6,0.3318,2.1895,115,74.6,2,113,72.6,1.54,0.97,1.11
en649,2020-02-04 14:50:00+00:00,,,14,c,152,6,0.3318,2.1895,123,74,2,121,72,1.66,1.18,0.88
en649,2020-02-04 19:35:00+00:00,,,15,a,152,6,0.3318,2.1895,237,138,2.01,234.99,135.99,1.72,2.39,1.51
en649,2020-02-04 19:35:00+00:00,,,15,b,152,6,0.3318,2.1895,247,139,2.01,244.99,136.99,1.78,2.6,1.32
en649,2020-02-04 19:35:00+00:00,,,15,c,152,6,0.3318,2.1895,236,144,2.01,233.99,141.99,1.64,2.22,1.85
en649,2020-02-04 21:22:00+00:00,,,16,a,152,6,0.3318,2.1895,235,123,2.01,232.99,120.99,1.91,2.7,0.77
en649,2020-02-04 21:22:00+00:00,,,16,b,152,6,0.3318,2.1895,257,144,2.01,254.99,141.99,1.78,2.72,1.35
en649,2020-02-04 21:22:00+00:00,,,16,c,152,6,0.3318,2.1895,232,131,2.01,229.99,128.99,1.77,2.44,1.26
en649,2020-02-05 17:28:00+00:00,,,17,a,152,6,0.3318,2.1895,183,125,2.01,180.99,122.99,1.46,1.4,2.13
en649,2020-02-05 17:28:00+00:00,,,17,b,152,6,0.3318,2.1895,182,123,2.01,179.99,120.99,1.48,1.42,2.05
en649,2020-02-05 17:28:00+00:00,,,17,c,152,6,0.3318,2.1895,220,102,2.01,217.99,99.99,2.16,2.84,0.02
