cruise,date_time_utc,latitude,longitude,sample_id,replicate,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,fo_blank,fa_blank,fo_fa,chl,phaeo,qc
en655,2020-07-25 20:48:00+00:00,NaN,NaN,1,a,152,6,0.8375,2.1524,17.2,9.51,0.76,16.44,8.75,1.81,0.47,0.15,1
en655,2020-07-25 20:48:00+00:00,NaN,NaN,1,b,152,6,0.8375,2.1524,17.8,9.9,0.76,17.04,9.14,1.8,0.49,0.16,1
en655,2020-07-25 20:48:00+00:00,NaN,NaN,1,c,152,6,0.8375,2.1524,16,9.86,0.76,15.24,9.1,1.62,0.38,0.27,1
en655,2020-07-26 01:01:00+00:00,NaN,NaN,2,a,152,6,0.8375,2.1524,16.1,9.55,0.76,15.34,8.79,1.69,0.4,0.22,1
en655,2020-07-26 01:01:00+00:00,NaN,NaN,2,b,152,6,0.8375,2.1524,16.2,10.6,0.76,15.44,9.84,1.53,0.35,0.35,1
en655,2020-07-26 01:01:00+00:00,NaN,NaN,2,c,152,6,0.8375,2.1524,16.8,11.1,0.76,16.04,10.34,1.51,0.35,0.38,3
en655,2020-07-26 03:03:00+00:00,NaN,NaN,3,a,152,6,0.8375,2.1524,22.2,13.9,0.76,21.44,13.14,1.6,0.51,0.42,1
en655,2020-07-26 03:03:00+00:00,NaN,NaN,3,b,152,6,0.8375,2.1524,20.4,12.3,0.76,19.64,11.54,1.66,0.5,0.32,1
en655,2020-07-26 03:03:00+00:00,NaN,NaN,3,c,152,6,0.8375,2.1524,21.6,11.9,0.76,20.84,11.14,1.82,0.6,0.19,1
en655,2020-07-26 04:07:00+00:00,NaN,NaN,4,a,152,6,0.8375,2.1524,25.2,14.7,0.76,24.44,13.94,1.71,0.65,0.34,1
en655,2020-07-26 04:07:00+00:00,NaN,NaN,4,b,152,6,0.8375,2.1524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
en655,2020-07-26 04:07:00+00:00,NaN,NaN,4,c,152,6,0.8375,2.1524,26.6,15.2,0.76,25.84,14.44,1.75,0.7,0.32,1
en655,2020-07-26 13:17:00+00:00,NaN,NaN,5,a,152,6,0.8375,2.1524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
en655,2020-07-26 13:17:00+00:00,NaN,NaN,5,b,152,6,0.8375,2.1524,20.8,11.1,0.77,20.03,10.33,1.87,0.6,0.14,1
en655,2020-07-26 13:17:00+00:00,NaN,NaN,5,c,152,6,0.8375,2.1524,20.9,11.6,0.77,20.13,10.83,1.8,0.57,0.2,1
en655,2020-07-26 15:23:00+00:00,NaN,NaN,6,a,152,6,0.8375,2.1524,20.1,11.8,0.77,19.33,11.03,1.7,0.51,0.27,1
en655,2020-07-26 15:23:00+00:00,NaN,NaN,6,b,152,6,0.8375,2.1524,30.9,17.7,0.77,30.13,16.93,1.75,0.82,0.39,1
en655,2020-07-26 15:23:00+00:00,NaN,NaN,6,c,152,6,0.8375,2.1524,18.8,8.44,0.77,18.03,7.67,2.23,0.64,-0.09,3
en655,2020-07-26 22:07:00+00:00,NaN,NaN,7,a,152,6,0.8375,2.1524,18.5,13.8,0.75,17.75,13.05,1.34,0.29,0.64,3
en655,2020-07-26 22:07:00+00:00,NaN,NaN,7,b,152,6,0.8375,2.1524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
en655,2020-07-26 22:07:00+00:00,NaN,NaN,7,c,152,6,0.8375,2.1524,18.7,11.8,0.75,17.95,11.05,1.58,0.43,0.36,1
en655,2020-07-27 09:21:00+00:00,NaN,NaN,8,a,152,6,0.8375,2.1524,6.61,4.48,0.75,5.86,3.73,1.48,0.13,0.13,3
en655,2020-07-27 09:21:00+00:00,NaN,NaN,8,b,152,6,0.8375,2.1524,6.47,4.4,0.75,5.72,3.65,1.47,0.13,0.13,3
en655,2020-07-27 09:21:00+00:00,NaN,NaN,8,c,152,6,0.8375,2.1524,6.54,4.11,0.75,5.79,3.36,1.59,0.15,0.09,1
en655,2020-07-27 19:27:00+00:00,NaN,NaN,9,a,152,6,0.8375,2.1524,7.17,3.97,0.74,6.43,3.23,1.81,0.2,0.03,1
en655,2020-07-27 19:27:00+00:00,NaN,NaN,9,b,152,6,0.8375,2.1524,6.74,3.87,0.74,6,3.13,1.74,0.18,0.05,1
en655,2020-07-27 19:27:00+00:00,NaN,NaN,9,c,152,6,0.8375,2.1524,6.47,4,0.74,5.73,3.26,1.62,0.15,0.08,1
en655,2020-07-27 21:01:00+00:00,NaN,NaN,10,a,152,6,0.8375,2.1524,9.51,4.8,0.74,8.77,4.06,1.98,0.29,0,3
en655,2020-07-27 21:01:00+00:00,NaN,NaN,10,b,152,6,0.8375,2.1524,7.52,4.42,0.74,6.78,3.68,1.7,0.19,0.07,1
en655,2020-07-27 21:01:00+00:00,NaN,NaN,10,c,152,6,0.8375,2.1524,3.72,2.41,0.74,2.98,1.67,1.54,0.08,0.04,1
en655,2020-07-27 23:18:00+00:00,NaN,NaN,11,a,152,6,0.8375,2.1524,5.92,3.31,0.74,5.18,2.57,1.79,0.16,0.02,1
en655,2020-07-27 23:18:00+00:00,NaN,NaN,11,b,152,6,0.8375,2.1524,5.56,3.64,0.74,4.82,2.9,1.53,0.12,0.09,1
en655,2020-07-27 23:18:00+00:00,NaN,NaN,11,c,152,6,0.8375,2.1524,6.09,3.13,0.74,5.35,2.39,1.95,0.18,-0.01,3
en655,2020-07-28 04:06:00+00:00,NaN,NaN,12,a,152,6,0.8375,2.1524,19.5,13.9,0.74,18.76,13.16,1.4,0.35,0.59,3
en655,2020-07-28 04:06:00+00:00,NaN,NaN,12,b,152,6,0.8375,2.1524,18.8,10.8,0.74,18.06,10.06,1.74,0.49,0.22,1
en655,2020-07-28 04:06:00+00:00,NaN,NaN,12,c,152,6,0.8375,2.1524,21,13.5,0.74,20.26,12.76,1.56,0.46,0.44,1
en655,2020-07-28 04:31:00+00:00,NaN,NaN,13,a,152,6,0.8375,2.1524,23.4,12.2,0.74,22.66,11.46,1.92,0.69,0.12,3
en655,2020-07-28 04:31:00+00:00,NaN,NaN,13,b,152,6,0.8375,2.1524,22.2,12.5,0.74,21.46,11.76,1.78,0.6,0.24,1
en655,2020-07-28 04:31:00+00:00,NaN,NaN,13,c,152,6,0.8375,2.1524,22,12.2,0.74,21.26,11.46,1.8,0.61,0.21,1
en655,2020-07-28 10:53:00+00:00,NaN,NaN,14,a,152,6,0.8375,2.1524,55.5,35.5,0.74,54.76,34.76,1.56,1.23,1.24,1
en655,2020-07-28 10:53:00+00:00,NaN,NaN,14,b,152,6,0.8375,2.1524,37.2,26.5,0.74,36.46,25.76,1.4,0.66,1.17,3
en655,2020-07-28 10:53:00+00:00,NaN,NaN,14,c,152,6,0.8375,2.1524,45.4,26.7,0.74,44.66,25.96,1.7,1.15,0.69,1
en655,2020-07-28 12:06:00+00:00,NaN,NaN,15,a,152,6,0.8375,2.1524,245,140,0.74,244.26,139.26,1.75,6.48,3.43,3
en655,2020-07-28 12:06:00+00:00,NaN,NaN,15,b,152,6,0.8375,2.1524,232,117,0.74,231.26,116.26,1.98,7.1,1.17,3
en655,2020-07-28 12:06:00+00:00,NaN,NaN,15,c,152,6,0.8375,2.1524,233,117,0.74,232.26,116.26,1.99,7.16,1.11,3
